,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Keala Settle,This Is Me,45aBsnKRWUzhwbcqOJLwfe,79,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
1,Loren Allred,Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,78,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,207787,3
2,Zac Efron,Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,78,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
3,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82,0.62,0.574,5,-7.788,0,0.0479,0.57,0.0,0.19,0.352,100.021,250173,4
4,Macklemore,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,78,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4
5,OneRepublic,No Vacancy,4QeoDcR16IHpmmgFGQDrCp,65,0.72,0.727,5,-3.882,1,0.0489,0.0556,0.0,0.138,0.481,99.994,223190,4
6,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),5uu28fUesZMl89lf9CLrgN,65,0.522,0.833,0,-3.715,1,0.0575,0.0454,0.0,0.127,0.296,180.009,193569,4
7,Niall Horan,Slow Hands,27vTihlWXiz9f9lJM3XGVU,65,0.735,0.423,0,-6.652,1,0.0459,0.011,0.0,0.0553,0.85,85.899,188174,4
8,Bebe Rexha,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,6Pw3Gvw4wNMZfTYZa6IQal,10,0.466,0.659,2,-6.077,1,0.115,0.00282,0.0,0.273,0.36,186.169,187787,4
9,Loote,High Without Your Love,7qs2GAglLWfxEfmO8u2u0A,2,0.87,0.496,5,-5.849,1,0.0741,0.113,0.0,0.134,0.778,102.015,191240,4
10,Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,73,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,214802,4
11,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
12,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,84,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
13,Shawn Hook,Reminding Me,6n72bDAxbWOkWaJnlfQfIZ,59,0.569,0.564,9,-4.856,0,0.0429,0.0897,0.0,0.0816,0.254,132.794,209924,4
14,Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,80,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,210091,4
15,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,80,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
16,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,88,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
17,Lady Antebellum,Need You Now,11EX5yhxr9Ihl3IN1asrfK,69,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4
18,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,78,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4
19,Miley Cyrus,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,75,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
20,Selena Gomez,Bad Liar,2fZQIJew3nkNe99s2PKzul,75,0.965,0.414,1,-6.408,1,0.0713,0.189,0.0,0.0767,0.728,121.032,214648,4
21,Jessie J,Masterpiece,4PYiIgzcp4o5pEYji1xY9q,63,0.661,0.733,0,-2.701,0,0.0433,0.0153,0.0,0.0982,0.613,143.92,220653,4
22,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,81,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,4
23,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,78,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,201000,4
24,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,83,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4
25,Martin Garrix,There for You,6jA8HL9i4QGzsj6fjoxp8Y,75,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904,4
26,Nelly Furtado,Promiscuous,47aQT2aV12TyilaoYi1NiD,67,0.795,0.978,10,-6.097,0,0.0459,0.046,8.29e-05,0.143,0.843,114.321,242200,4
27,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,83,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
28,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
29,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,82,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870,4
30,Imagine Dragons,Thunder,7BrsBU0BAytRDvROM4yCbn,12,0.601,0.809,0,-4.814,1,0.0441,0.00763,0.0757,0.145,0.249,167.96,187147,4
31,Hailee Steinfeld,Capital Letters,6l0Ky2PycJV1Bz88kFeVGL,77,0.661,0.814,0,-5.529,1,0.0759,0.0337,8.27e-06,0.0518,0.459,99.963,219373,4
32,Alessia Cara,The Other Side (Alessia Cara Version),5stBjr01wRUJa6BGqkxPD7,53,0.433,0.573,1,-6.041,0,0.156,0.278,0.0,0.103,0.312,150.005,199285,4
33,Demi Lovato,Tell Me You Love Me,3hYvGiw2Q8QE2YWdIJLBz0,11,0.536,0.582,3,-5.452,0,0.0433,0.0241,0.0,0.181,0.253,82.142,236987,4
34,Julia Michaels,Issues,7vu0JkJh0ldukEYbTVcqd0,72,0.728,0.415,8,-6.852,1,0.0639,0.401,0.0,0.0616,0.455,114.145,176320,4
35,Alicia Keys,No One,0JEqGkvUiMTQmFY6sgL9kg,23,0.649,0.552,1,-5.419,0,0.0292,0.03,6.47e-06,0.111,0.158,89.969,253813,4
36,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,78,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,216409,4
37,Calvin Harris,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,75,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
38,Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,75,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4
39,Andy Grammer,Fresh Eyes,4nMlau89VAjmV7agkl7OY3,9,0.822,0.544,0,-6.797,1,0.0332,0.562,2.4e-05,0.144,0.861,122.047,198001,4
40,Panic! At The Disco,I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,76,0.567,0.795,9,-4.985,0,0.134,0.0938,0.0,0.114,0.635,170.06,187613,4
41,Miley Cyrus,Malibu,2habSXqcJGExM6JJyskY7O,23,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,231906,4
42,Liam Payne,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,79,0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.023,204502,4
43,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,79,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,165387,4
44,Kygo,Stargazing,0Zbbxnx4SGGHoIow4PpISP,75,0.677,0.497,5,-5.763,1,0.0809,0.152,0.0,0.0911,0.419,99.137,236853,4
45,Julia Michaels,Heaven,1T575AhHueYinKSDflEsGK,77,0.552,0.371,7,-9.104,0,0.0359,0.857,0.0,0.0838,0.245,199.843,191787,3
46,Daya,New,4tERsdVCLtLtrGdFBf9DGC,70,0.715,0.742,0,-4.331,1,0.0347,0.052,2.47e-05,0.364,0.322,106.971,230880,4
47,DJ Khaled,To the Max,2of5xn0GU0TdFneR1saRLH,52,0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,193902,4
48,Cheat Codes,No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,67,0.739,0.619,10,-6.669,1,0.162,0.0572,0.0,0.105,0.58,112.961,222787,4
49,Sam Smith,Pray,59ljpSFcgtfWJKS3vqG27R,67,0.535,0.382,4,-9.465,0,0.0426,0.282,1.14e-05,0.0865,0.147,87.801,221596,3
50,Phillipa Soo,Helpless,54Sc7mZQ1RM03STpk4SfaA,68,0.688,0.491,5,-7.494,1,0.269,0.335,0.0,0.0914,0.737,79.011,249771,4
51,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,84,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
52,Andy Grammer,Back Home,07HeFSqsEGq4eWyerDrW1a,57,0.621,0.827,11,-7.309,1,0.0454,0.0409,0.0,0.0815,0.65,99.979,199113,4
53,Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,85,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,220293,4
54,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,4
55,Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,84,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4
56,Anne-Marie,2002,4Pbg79cTBu4vgSphoyNq3j,77,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987,4
57,Jessie Reyez,Body Count,0jjHmmFPqKM6nI8EIAxgYB,55,0.873,0.431,11,-5.739,0,0.148,0.513,5.74e-06,0.1,0.156,150.096,142263,4
58,Kygo,First Time,2Gl0FzuLxflY6nPifJp5Dr,71,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,193511,4
59,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,83,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,4
60,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,84,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4
61,Jess Glynne,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,74,0.623,0.851,7,-3.111,1,0.0409,0.0228,0.0,0.12,0.4,100.063,193924,4
62,Jason Derulo,Trumpets,5KONnBIQ9LqCxyeSPin26k,68,0.635,0.691,0,-4.862,1,0.258,0.555,0.0,0.097,0.638,82.142,217419,4
63,Kiiara,Messy,0BOEuUKoHdy8in20fG5smd,59,0.893,0.456,9,-5.82,1,0.167,0.216,0.0,0.326,0.681,108.037,169324,4
64,The Pussycat Dolls,I Hate This Part,4mYd9FQyU5eekDJyVeIRgS,1,0.746,0.61,5,-4.236,1,0.033,0.0783,0.0,0.251,0.529,111.567,218387,4
65,Gryffin,Tie Me Down (with Elley Duhé),4QVS8YCpK71R4FsxSMCjhP,72,0.548,0.839,6,-2.371,1,0.0644,0.135,0.0,0.102,0.314,98.932,218296,4
66,Migos,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,76,0.92,0.674,1,-5.662,0,0.264,0.307,0.0,0.104,0.741,141.967,304041,4
67,Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve,81,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827,4
68,Major Lazer,Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX,58,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,4
69,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,79,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,4
70,Jonas Blue,Rise,3u1S1OmAUhx5DRlLrXqyp3,78,0.69,0.784,1,-4.653,1,0.032,0.323,0.0,0.203,0.669,106.066,194408,4
71,Lauv,Getting Over You,4G4gtvlaFaI6v6wWD8UvqL,67,0.604,0.507,0,-7.928,1,0.0382,0.273,2.27e-06,0.0943,0.114,91.984,255886,4
72,James Arthur,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,80,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4
73,Maroon 5,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,83,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,235545,4
74,Rihanna,Umbrella,49FYlytm3dAAraYgpoJZux,81,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4
75,Katy Perry,Part Of Me,1nZzRJbFvCEct3uzu04ZoL,72,0.678,0.918,5,-4.63,1,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160,4
76,Liam Payne,Bedroom Floor,1OG4nxGMy72EklX2DwcN3Z,65,0.625,0.684,1,-7.147,1,0.0687,0.342,6.37e-05,0.107,0.217,119.932,188346,4
77,Sabrina Carpenter,Thumbs,6WC5fhc9XMaCrUNKNjm9xE,69,0.73,0.718,8,-3.496,1,0.0478,0.0284,0.0,0.0892,0.127,135.045,216467,4
78,Dua Lipa,IDGAF,1ny60YCHhEsxsJXWLhK7b0,53,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4
79,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,70,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,288877,4
80,Khalid,Location,152lZdxL1OR0ZMW6KquMif,83,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4
81,Demi Lovato,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,17,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,203760,4
82,Kelly Clarkson,Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,74,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4
83,will.i.am,Fantastic,3pHFhXZdxz9mlZehLua2IU,19,0.745,0.469,8,-8.383,1,0.0554,0.115,1.03e-05,0.0905,0.561,97.935,205680,4
84,Zedd,The Middle,09IStsImFySgyp0pIQdqAc,84,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4
85,Little Mix,Shout Out to My Ex,1pwo8l3Ko7idwaz4LVUEC4,78,0.773,0.747,5,-4.061,1,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,246240,4
86,Cody Simpson,Underwater,5JpPLvlQZc1EyrpmzrcSZX,0,0.642,0.608,9,-7.514,1,0.0357,0.12,0.000118,0.103,0.303,97.017,208960,4
87,Rita Ora,Your Song,4c2W3VKsOFoIg2SFaO6DY5,73,0.855,0.624,1,-4.093,1,0.0488,0.158,0.0,0.0513,0.962,117.959,180757,4
88,Camila Cabello,Havana,0ofbQMrRDsUaVKq2mGLEAb,28,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
89,Julia Michaels,Worst In Me,1FY8gDAydm8CfGYp7Lv9ce,62,0.648,0.616,6,-7.82,1,0.0606,0.105,0.0,0.161,0.275,105.985,202347,4
90,Katy Perry,Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,70,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760,4
91,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,80,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,4
92,Taylor Swift,22,3bIxTsfeNMO7Nt2J3EUKrA,61,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,4
93,Beyoncé,If I Were a Boy,26NX1wPt1TRCH536yocd6i,69,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,249147,4
94,Jonathan Groff,What Comes Next?,3D4J0o9w44QKFrBrYrSVJY,64,0.515,0.302,7,-10.882,1,0.0802,0.603,0.0,0.199,0.276,114.832,99343,4
95,Michael Bublé,Crazy Love,5yHRupjhJzuqxW5WjGTRr7,62,0.42,0.548,2,-7.221,1,0.0398,0.478,0.0,0.259,0.471,77.018,211293,4
96,Sam Smith,Lay Me Down,74sb4Gib0cL3TQeCjYF8vh,68,0.417,0.332,4,-9.482,1,0.0494,0.773,1.95e-05,0.109,0.172,119.156,253208,4
97,J. Cole,Photograph,0bhnUFDQFCEHCBlsQfHnj5,67,0.825,0.487,1,-6.416,1,0.233,0.0299,0.0,0.0868,0.372,105.05,218954,3
98,Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),7HdZY9UJTylIiNcSDFyUDc,64,0.747,0.641,1,-4.502,1,0.0925,0.25,0.00107,0.106,0.453,100.028,186231,4
99,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,81,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,4
